Stand	Plot	TreeID	x_DBH_local_TLS	y_DBH_local_TLS	dbh_TLS	h_TLS	cra_TLS	dbh_field	h_field
136	136_1	201	5.797786	3.769839	25.578666	23.4322	11.644	27.1	23.5
136	136_1	206	-1.534593	4.398385	26.04483	24.43995	14.732	27.8	24.9
136	136_1	205	-6.058127	3.417961	27.17058	22.73962	15.27	30.1	23
136	136_1	207	0.352265	10.854135	38.269062	24.48611	12.938	40.4	25.2
136	136_1	203	3.950355	-3.841885	39.552219	25.81861	11.56	41.1	26.7
136	136_2	213	-0.464784	2.601991	25.201543	23.51976	10.504	26.6	24.9
136	136_2	211	-4.693709	-0.266573	26.881325	24.07222	15.181	28.2	25.5
136	136_2	212	-2.339942	0.445654	27.617025	24.48901	16.338	29.2	24.2
136	136_2	210	-3.817541	-4.670516	28.189513	24.10927	11.269	30	24.5
136	136_2	209	-0.357367	-3.684403	29.906918	24.83805	12.977	31.3	25
136	136_2	208	6.351408	0.137424	37.590439	27.33337	24.002	38.6	27.7
136	136_3	221	1.81607	-2.189793	22.186447	22.76797	24.246	22.9	23.4
136	136_3	217	0.611211	5.64371	25.175776	23.59507	13.294	25.8	24.3
136	136_3	218	2.836486	4.545088	27.589636	24.97074	8.435	28.5	26.7
136	136_3	219	5.499067	-0.143271	28.376699	26.93452	19.72	28.8	28.7
136	136_3	220	3.974367	-3.854669	28.544322	23.40428	17.389	29.8	25
136	136_3	215	-3.913428	2.111527	29.475141	27.52261	19.555	30.7	28.3
136	136_3	214	-1.789144	-6.102589	31.535636	25.59291	22.062	33.6	25.8
136	136_3	216	-0.812277	2.390429	33.751209	22.47581	12.551	34.8	28.3
136	136_4	227	0.732452	-4.532384	23.229371	26.65364	21.622	24.2	27
136	136_4	226	-9.388751	1.672918	29.293229	24.28313	22.843	29.6	26.2
136	136_4	225	2.283628	-1.424901	31.43605	28.95813	14.725	33.5	29.5
136	136_4	224	8.135643	2.505754	35.551614	28.92985	17.091	38.7	30.4
136	136_4	228	-6.11855	-2.25684	37.088447	28.56741	35.223	40.2	29.6
136	136_4	223	5.2348	0.183871	37.114022	30.8195	15.885	36.7	30.7
136	136_4	222	2.333569	2.572039	40.422014	29.41782	18.411	41.1	29.9
136	136_4	229	-2.649527	3.579356	41.836938	30.59562	31.019	43.4	31.2
136	136_4	231	2.120147	7.556198	42.907564	27.72619	40.9	43.6	29.1
136	136_4	230	-3.310156	8.020655	50.094209	24.49427	0.239	48	30.5
140	140_1	404	2.25393	5.477803	19.850986	18.74416	7.155	19.7	19.3
